localizacion,precio,habitaciones,espacio,planta
"Piso en Centro Histórico - Plaza España, Cádiz",750.000€,2,162,exterior con ascensor
"Dúplex en plaza España, 12, Centro Histórico - Plaza España, Cádiz",538.365€,4,145,Planta 2ª exterior con ascensor
"Piso en Zona San José - Varela, Cádiz",590.000€,4,201,Planta 3ª exterior con ascensor
"Piso en paseo Marítimo, Playa Victoria - Paseo Marítimo, Cádiz",620.000€,3,112,Planta 1ª exterior con ascensor
"Piso en Zona San José - Varela, Cádiz",598.000€,3,164,Planta 1ª exterior con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",580.000€,4,166,Planta 1ª exterior con ascensor
"Ático en calle caracolas, Playa Victoria - Paseo Marítimo, Cádiz",530.000€,3,103,Planta 12ª exterior con ascensor
"Piso en alameda Apodaca, Mentidero - Teatro Falla - Alameda, Cádiz",540.000€,6,304,Planta 1ª exterior con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",630.000€,5,212,Planta 1ª exterior sin ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",750.000€,2,162,Planta 2ª exterior con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",550.000€,6,222,Planta 2ª exterior con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",780.000€,5,257,exterior con ascensor
"Dúplex en Beato Diego de Cádiz, 16, Centro Histórico - Plaza España, Cádiz",658.000€,4,208,Planta 3ª exterior con ascensor
"Piso en avenida Andalucía, Playa Stª Mª del Mar, Cádiz",590.000€,7,340,Planta 1ª exterior con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",570.000€,4,270,Planta 1ª exterior con ascensor
"Piso en avenida Andalucía, Playa Stª Mª del Mar, Cádiz",780.000€,3,190,Planta 5ª exterior con ascensor
"Piso en Zona Bahía Blanca, Cádiz",715.000€,6,262,Planta 9ª exterior con ascensor
"Piso en Playa Stª Mª del Mar, Cádiz",620.000€,4,195,Planta 2ª exterior con ascensor
"Piso en Zona Bahía Blanca, Cádiz",650.000€,5,245,Planta 2ª exterior con ascensor
"Piso en Zona Laguna, Cádiz",750.000€,4,183,Planta 8ª exterior con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",680.000€,4,250,Planta 3ª exterior con ascensor
"Piso en Playa Victoria - Paseo Marítimo, Cádiz",510.000€,3,108,Planta 1ª exterior con ascensor
"Piso en calle Ancha, Centro Histórico - Plaza España, Cádiz",550.000€,6,222,Planta 2ª exterior con ascensor
"Piso en avenida Andalucía, Zona San José - Varela, Cádiz",600.000€,5,233,Planta 2ª exterior con ascensor
"Piso en plaza San Antonio, Mentidero - Teatro Falla - Alameda, Cádiz",585.000€,4,223,Planta 1ª exterior sin ascensor
"Piso en Zona Bahía Blanca, Cádiz",660.000€,5,228,Planta 5ª exterior con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",550.000€,4,273,Planta 1ª exterior con ascensor
"Dúplex en Centro Histórico - Plaza España, Cádiz",658.000€,3,211,Planta 3ª exterior con ascensor
"Piso en Zona Bahía Blanca, Cádiz",620.000€,4,136,Planta 1ª exterior con ascensor
"Piso en Playa Victoria - Paseo Marítimo, Cádiz",510.000€,3,108,Planta 1ª exterior con ascensor
"Piso en avenida Duque de Nájera, 7 C, La Caleta - La Viña, Cádiz",600.000€,5,173,Planta 5ª exterior con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",580.000€,4,166,Planta 1ª exterior con ascensor
"Piso en calle Beato Diego de Cadiz, 1, Centro Histórico - Plaza España, Cádiz",630.000€,4,300,Planta 1ª exterior con ascensor
"Piso en avenida Andalucía, Playa Victoria - Paseo Marítimo, Cádiz",590.000€,4,201,Planta 3ª exterior con ascensor
"Piso en avenida Marina, 16, Zona Bahía Blanca, Cádiz",550.000€,4,184,Planta 3ª exterior con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",750.000€,2,160,Planta 2ª exterior con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",680.000€,3,283,Planta 3ª exterior con ascensor
"Piso en calle Ancha, 23, Centro Histórico - Plaza España, Cádiz",530.000€,3,136,Planta 2ª exterior con ascensor
"Dúplex en plaza España, 12, Centro Histórico - Plaza España, Cádiz",579.250€,3,125,Planta 2ª exterior con ascensor
"Ático en plaza España, 12, Centro Histórico - Plaza España, Cádiz",539.245€,1,74,exterior con ascensor
"Piso en plaza España, 12, Centro Histórico - Plaza España, Cádiz",564.987€,2,104,Planta 3ª exterior con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",750.000€,5,212,Planta 1ª exterior con ascensor
"Piso en Playa Victoria - Paseo Marítimo, Cádiz",505.000€,3,136,Planta 8ª exterior con ascensor
"Piso en plaza España, 12, Centro Histórico - Plaza España, Cádiz",554.795€,2,108,Planta 3ª exterior con ascensor
"Ático en Cervantes, 12, Centro Histórico - Plaza España, Cádiz",720.000€,3,147,Planta 4ª exterior con ascensor
"Dúplex en plaza España, 12, Centro Histórico - Plaza España, Cádiz",599.949€,5,159,Planta 2ª exterior con ascensor
"Piso en calle Soledad, Mentidero - Teatro Falla - Alameda, Cádiz",700.000€,5,228,Planta 1ª exterior con ascensor
"Piso en avenida Ana de Viya, Playa Victoria - Paseo Marítimo, Cádiz",510.000€,3,107,Planta 1ª exterior con ascensor
"Piso en avenida Andalucía, Zona San José - Varela, Cádiz",598.000€,3,165,Planta 1ª exterior con ascensor
"Piso en avenida Marina, Zona Bahía Blanca, Cádiz",525.000€,5,193,Planta 3ª exterior con ascensor
